epoch,tr_loss,tr_dice,tr_iou,va_loss,va_dice,va_iou
1,0.09369683016795295,0.6119137357796757,0.4771962635170821,0.0691194549569448,0.7313677872784164,0.6028972908499695
2,0.06384254358547442,0.7236377226592758,0.5995456275158036,0.056585108545098156,0.7704000499318627,0.6513892460604008
3,0.05828500050193427,0.7504094323764162,0.6309779053402224,0.05323254579012295,0.7939164540639111,0.6815223020686656
4,0.054535266839985864,0.767375589104557,0.6528419683328373,0.05081564188069778,0.7961275932752118,0.6850793801185464
5,0.05263587072164248,0.7780131507118759,0.6655980141289873,0.04944537193873925,0.8033660228262428,0.6944586672619277
