epoch,tr_loss,tr_dice,tr_iou,va_loss,va_dice,va_iou
1,0.49407528953871976,0.659217909393285,0.5263208034848262,0.3697974863527369,0.7658578249461511,0.6439415078286698
2,0.38666822703383047,0.7409803334562416,0.6204103026141399,0.3345320696214668,0.7903414371759951,0.675707948360206
3,0.3587373174330434,0.7607699290247721,0.6450843557391048,0.32337238455937356,0.7997054532587695,0.6879294871115217
4,0.34629255646177115,0.7715507273852316,0.6586094224555337,0.31007025822871875,0.8094130003569173,0.700773068127178
5,0.33559546979399874,0.7777119206889731,0.6671865708199232,0.3084988071053636,0.8073899523258543,0.6990978842815098
